latitude,longitude
30.2548933,-97.73513258
30.20490413,-97.71629137
30.2636686,-97.77109973
30.29050739,-97.73483603
30.37270723,-97.73900599
30.24881635,-97.85964288
30.28539584,-97.68372337
30.46368997,-97.69386317
30.40193338,-97.71873757
30.426322,-97.70500278
30.2236904,-97.73739482
30.15583242,-97.71931769
30.25423954,-97.77222494
30.41033104,-97.64619597
30.40308164,-97.76660646
30.14098101,-97.77243782
30.25952831,-97.74869734
30.28619331,-97.74354578
30.19461933,-97.70520313
30.15389832,-97.71861506
30.16546392,-97.79493648
30.44753142,-97.79934509
30.28391084,-97.67047248
30.36335414,-97.67003031
30.25561259,-97.8003085
30.19658553,-97.7040819
30.19384831,-97.70515127
30.25677297,-97.87080623
30.3777163,-97.60482286
30.41554654,-97.6747712
30.29867804,-97.72253915
30.28439729,-97.66062572
30.28056384,-97.70909238
30.40535822,-97.84878618
30.23580506,-97.83554094
30.26608316,-97.72879395
30.20758829,-97.7156548
30.28541374,-97.74416565
30.27493954,-97.71984877
30.20503555,-97.75661121
30.40273075,-97.74397612
30.33609539,-97.80698282
30.28133001,-97.78890005
30.22881613,-97.86223551
30.24190542,-97.77781963
30.26373894,-97.74365146
30.37601774,-97.71473388
30.205571,-97.77354507
30.36867011,-97.91204316
30.39326486,-97.66284066
30.41473889,-97.67423152
30.34470131,-97.70938397
30.29378394,-97.69837376
30.327268,-97.71416236
30.28597161,-97.66386231
30.28955407,-97.69835472
30.16218158,-97.72190533
30.30073589,-97.67430827
30.32135839,-97.65734951
30.37599211,-97.76310193
30.21519746,-97.69191575
30.40349736,-97.74761022
30.25508809,-97.84539708
30.25891276,-97.72578458
30.30411991,-97.70298297
30.18141042,-97.66553088
30.25139382,-97.69043353
30.27545627,-97.75293257
30.27061623,-97.75207078
30.40883583,-97.84317098
30.25726006,-97.76017734
30.28522898,-97.71047769
30.40381298,-97.71909638
30.45770832,-97.78826573
30.40232269,-97.69954937
30.25024542,-97.89596309
30.30172078,-97.7421378
30.30635358,-97.70916498
30.39868463,-97.71813151
30.1735035,-97.81455105
30.26204912,-97.72502106
30.31972093,-97.7540877
30.31932771,-97.73864596
30.28955407,-97.69835472
30.3734401,-97.71986599
30.42969239,-97.73658589
30.31693802,-97.70699449
30.32989317,-97.70455135
30.17938106,-97.78394139
30.26402895,-97.70753894
30.27013126,-97.74899095
30.21141311,-97.69307552
30.40938197,-97.66275585
30.37639417,-97.76284084
30.15378592,-97.74457069
30.19195231,-97.88282661
30.43510006,-97.7649039
30.33957137,-97.7181863
30.46522137,-97.76111727
30.3222623,-97.71107463
30.24263533,-97.72279068
30.28146416,-97.69708077
30.34826977,-97.78570573
30.327268,-97.71416236
30.30000026,-97.67133167
30.42020441,-97.84028107
30.22258679,-97.76685037
30.37705272,-97.71293217
30.38721568,-97.68440187
30.20807326,-97.66133341
30.26607677,-97.7505704
30.47636512,-97.77793343
30.24844852,-97.75566906
30.25385998,-97.8761278
30.3929604,-97.68181597
30.20445393,-97.73064493
30.45562929,-97.82836629
30.33725317,-97.80589487
30.3166102,-97.71474989
30.20445393,-97.73064493
30.2393763,-97.78892515
30.42831381,-97.84218027
30.2580463,-97.73824159
30.28955407,-97.69835472
30.37876757,-97.68130231
30.27700944,-97.74249616
30.38467556,-97.74434819
30.2386705,-97.76708901
30.23224062,-97.78162398
30.26873045,-97.74435239
30.20570025,-97.72733483
30.33262931,-97.73963267
30.32401942,-97.72901276
30.38835454,-97.89668957
30.21987026,-97.78062963
30.22347228,-97.69933489
30.35071936,-97.67116083
30.15100862,-97.75363706
30.3922089,-97.77654111
30.22283751,-97.70777922
30.49040873,-97.75285845
30.21202638,-97.66290498
30.1691315,-97.79627672
30.38821079,-97.7692264
30.26245459,-97.73889311
30.21796955,-97.70247438
30.1392569,-97.79752157
30.23637652,-97.72607658
30.28960776,-97.74320063
30.26679634,-97.74998369
30.22801743,-97.76880667
30.20598345,-97.77767112
30.22718756,-97.78187963
30.15718914,-97.76919499
30.38792651,-97.617765
30.48021075,-97.78761757
30.25512424,-97.7517818
30.32025479,-97.73020784
30.35080611,-97.70992139
30.36194122,-97.61079567
30.19723747,-97.70843858
30.40001739,-97.72345396
30.33418573,-97.71559345
30.23177816,-97.72016625
30.15270949,-97.76199185
30.25891011,-97.75254823
30.15768499,-97.78907051
30.27749383,-97.70869745
30.28955407,-97.69835472
30.29303494,-97.67636539
30.32574903,-97.71391681
30.24927426,-97.75565994
30.27707575,-97.68739619
30.19401015,-97.84366565
30.21069691,-97.66550481
30.24099482,-97.85895286
30.26242443,-97.72013423
